	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	10	3	47	295	127	156
IGHV1-2	2	0	13	62	17	84
IGHV1-24	2	1	10	40	8	17
IGHV1-3	3	2	19	156	45	72
IGHV1-45	0	0	1	4	0	3
IGHV1-46	7	1	28	120	34	54
IGHV1-58	1	0	7	30	8	29
IGHV1-69	18	16	70	325	140	249
IGHV1-69-2	0	0	0	1	0	0
IGHV1-8	6	3	21	77	40	67
IGHV2-26	0	4	2	18	7	12
IGHV2-5	8	8	23	178	62	37
IGHV2-70	0	0	4	29	6	21
IGHV3-11	0	9	19	87	25	43
IGHV3-13	1	0	4	12	5	23
IGHV3-15	3	0	9	81	11	40
IGHV3-20	0	1	3	17	2	3
IGHV3-21	4	3	26	109	21	60
IGHV3-23	17	14	45	352	83	87
IGHV3-30	11	6	42	283	37	117
IGHV3-30-3	11	5	24	200	27	88
IGHV3-33	8	10	37	180	29	95
IGHV3-43	0	0	0	4	1	6
IGHV3-47	0	0	0	0	0	0
IGHV3-48	3	0	18	128	34	61
IGHV3-49	1	0	5	19	3	13
IGHV3-52	0	0	0	0	0	0
IGHV3-53	2	7	6	55	15	26
IGHV3-64	0	0	5	34	6	9
IGHV3-66	2	4	18	71	14	42
IGHV3-7	3	2	15	79	20	32
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	0	4	20	4	5
IGHV3-73	0	2	6	30	9	11
IGHV3-74	1	2	17	93	13	35
IGHV3-9	2	3	15	42	10	31
IGHV4-28	0	0	0	9	8	4
IGHV4-30-2	1	3	27	121	48	41
IGHV4-30-4	5	7	25	139	54	47
IGHV4-31	9	7	37	205	77	74
IGHV4-34	10	1	22	173	74	85
IGHV4-38-2	0	0	1	2	5	5
IGHV4-39	7	12	36	306	124	86
IGHV4-4	2	3	23	94	46	46
IGHV4-55	0	0	0	0	1	0
IGHV4-59	9	13	59	370	154	151
IGHV4-61	4	0	9	73	34	29
IGHV5-10-1	1	1	12	28	6	43
IGHV5-51	5	2	41	116	27	108
IGHV6-1	0	0	6	27	15	19
IGHV7-4-1	0	1	0	2	1	4
