	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	6	4	70	276	101	140
IGHV1-2	6	1	28	62	25	67
IGHV1-24	3	4	12	59	14	28
IGHV1-3	7	2	25	82	34	54
IGHV1-45	1	0	2	0	0	0
IGHV1-46	6	0	25	112	30	62
IGHV1-58	0	0	6	22	4	19
IGHV1-69	10	7	50	180	76	194
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	1	1	12	97	37	101
IGHV2-26	0	2	5	15	4	10
IGHV2-5	8	3	10	82	46	17
IGHV2-70	0	0	3	35	3	11
IGHV3-11	4	3	25	125	35	66
IGHV3-13	0	6	17	18	3	22
IGHV3-15	5	2	29	160	24	83
IGHV3-20	0	1	8	17	6	11
IGHV3-21	6	4	60	166	48	108
IGHV3-23	48	22	189	1011	159	356
IGHV3-30	7	9	52	311	41	223
IGHV3-30-3	4	0	18	170	17	106
IGHV3-33	6	3	52	269	42	175
IGHV3-43	0	0	2	21	2	2
IGHV3-47	0	0	0	0	0	0
IGHV3-48	2	8	21	80	20	55
IGHV3-49	0	1	4	18	3	8
IGHV3-52	0	0	0	1	0	0
IGHV3-53	0	2	17	26	1	20
IGHV3-64	0	0	5	34	3	5
IGHV3-66	0	0	11	36	8	21
IGHV3-7	2	2	14	61	17	15
IGHV3-71	0	0	0	1	0	0
IGHV3-72	1	1	4	8	2	6
IGHV3-73	0	0	6	15	4	15
IGHV3-74	0	3	17	46	20	38
IGHV3-9	4	3	22	61	13	27
IGHV4-28	0	0	0	2	0	0
IGHV4-30-2	0	2	8	32	16	9
IGHV4-30-4	2	1	4	42	16	23
IGHV4-31	5	4	30	182	75	81
IGHV4-34	9	3	36	190	71	106
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	4	9	35	215	89	96
IGHV4-4	0	1	11	55	15	21
IGHV4-55	0	0	0	0	0	0
IGHV4-59	3	11	39	182	100	111
IGHV4-61	0	1	6	20	11	10
IGHV5-10-1	0	0	4	6	4	25
IGHV5-51	1	3	34	94	31	94
IGHV6-1	1	1	8	24	8	26
IGHV7-4-1	0	0	0	2	2	2
