	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	91	19	358	1548	495	986
IGHV1-2	42	22	250	1945	429	972
IGHV1-24	17	9	185	418	95	245
IGHV1-3	2	0	13	337	84	68
IGHV1-45	0	0	2	1	1	0
IGHV1-46	11	5	91	604	61	352
IGHV1-58	3	1	16	18	9	63
IGHV1-69	47	21	261	716	272	1006
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	18	3	118	318	219	918
IGHV2-26	0	0	0	1	0	0
IGHV2-5	30	18	51	480	122	235
IGHV2-70	0	0	3	47	7	20
IGHV3-11	39	100	247	1211	194	476
IGHV3-13	8	97	45	152	52	83
IGHV3-15	86	65	286	2420	221	719
IGHV3-20	2	1	58	104	6	26
IGHV3-21	56	30	358	1626	246	881
IGHV3-23	307	204	1240	6956	1193	1822
IGHV3-30	313	76	633	4339	834	2574
IGHV3-30-3	454	44	571	3325	619	1724
IGHV3-33	83	58	421	3315	495	1137
IGHV3-43	4	3	13	133	8	53
IGHV3-47	0	0	0	0	0	0
IGHV3-48	43	45	404	1872	318	811
IGHV3-49	6	4	88	474	127	216
IGHV3-52	1	0	0	1	0	0
IGHV3-53	33	33	216	759	145	761
IGHV3-64	4	3	76	124	13	88
IGHV3-66	29	78	138	825	87	520
IGHV3-7	124	78	770	3238	543	1274
IGHV3-71	0	0	0	0	0	0
IGHV3-72	4	7	33	119	5	50
IGHV3-73	15	5	55	307	58	140
IGHV3-74	31	24	251	1018	307	636
IGHV3-9	60	24	782	1082	126	576
IGHV4-28	0	0	3	1	0	0
IGHV4-30-2	3	2	99	177	98	69
IGHV4-30-4	8	26	242	766	383	147
IGHV4-31	23	14	133	870	250	401
IGHV4-34	68	41	123	916	262	436
IGHV4-38-2	3	1	14	19	3	10
IGHV4-39	77	414	388	1710	728	542
IGHV4-4	30	37	181	934	228	384
IGHV4-55	0	0	0	0	0	0
IGHV4-59	78	101	638	2961	1026	949
IGHV4-61	28	65	98	480	244	324
IGHV5-10-1	0	0	0	3	3	7
IGHV5-51	10	67	403	1631	249	655
IGHV6-1	8	36	122	365	103	337
IGHV7-4-1	0	0	2	7	2	5
