	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-2	3027	2590	47674	110484	42981	127941
IGHV1-3	6105	3951	37877	171230	65771	98823
IGHV1-8	3687	2923	42142	127712	64575	141851
IGHV1-18	10838	7385	108104	453952	166396	242683
IGHV1-24	3551	1931	28529	109039	32285	46769
IGHV1-45	39	32	1320	1313	428	564
IGHV1-46	5581	3131	43024	179122	52261	107338
IGHV1-58	659	626	10159	32621	7765	29288
IGHV1-68	4	0	14	90	42	82
IGHV1-69	13220	10475	86979	355718	131496	304858
IGHV1-69-2	0	1	5	21	7	13
IGHV2-5	6530	3075	27607	152347	63310	30162
IGHV2-10	4	3	12	52	20	51
IGHV2-26	278	1813	4847	27799	12497	18901
IGHV2-70	419	656	7354	40256	7897	31311
IGHV3-7	4131	3543	30809	125872	22592	55640
IGHV3-9	3724	4297	39003	94080	15023	37385
IGHV3-11	5660	6851	55227	188450	46240	129339
IGHV3-13	575	4225	19493	37725	7975	49775
IGHV3-15	7070	3078	54199	275361	34172	165844
IGHV3-16	0	0	0	2	0	2
IGHV3-19	3	7	21	154	38	76
IGHV3-20	339	1130	9628	21043	7005	19541
IGHV3-21	8959	6075	90529	322215	72082	180861
IGHV3-22	11	16	55	296	124	273
IGHV3-23	58611	33950	303264	1710994	292257	611999
IGHV3-25	1	4	7	16	11	50
IGHV3-30	16522	11476	86964	549486	74789	361270
IGHV3-30-3	7144	3829	44460	293390	40427	187003
IGHV3-30-5	0	0	0	0	0	0
IGHV3-33	11064	7065	90766	435450	69121	298451
IGHV3-35	8	3	24	170	41	117
IGHV3-38	0	0	2	2	6	1
IGHV3-38-3	0	0	0	2	0	4
IGHV3-43	993	481	3780	27156	1253	11744
IGHV3-47	4	5	22	83	30	68
IGHV3-48	5045	4949	34618	141794	30114	79933
IGHV3-49	826	797	8283	33615	9170	19486
IGHV3-52	8	8	31	202	79	163
IGHV3-53	1291	2416	14286	40872	7605	35924
IGHV3-62	0	0	0	0	0	0
IGHV3-64	1083	1386	8817	34888	6921	18583
IGHV3-66	1930	2098	19230	54078	10920	34121
IGHV3-69-1	35	18	212	809	190	447
IGHV3-71	9	15	82	378	150	218
IGHV3-72	619	866	4498	21019	2066	8119
IGHV3-73	553	816	5869	25035	5708	18982
IGHV3-74	2685	2697	20162	90125	22368	52018
IGHV4-4	1990	3146	18174	79666	30886	40794
IGHV4-28	51	151	464	1891	709	742
IGHV4-30-2	922	2123	9189	40015	21640	18106
IGHV4-30-4	1330	2063	10617	69503	29847	30650
IGHV4-31	6620	10794	60356	262406	117917	127832
IGHV4-34	9860	7461	46444	315710	145222	193011
IGHV4-38-2	4	5	33	208	95	79
IGHV4-39	9477	14611	68435	370478	158762	156964
IGHV4-55	0	3	4	158	9	27
IGHV4-59	9025	13673	80947	360185	166000	228762
IGHV4-61	994	1225	8988	48647	20644	27060
IGHV5-10-1	406	732	7079	24309	9492	44030
IGHV5-51	4109	4649	59459	151318	48978	156877
IGHV5-78	0	1	10	7	5	11
IGHV6-1	850	1160	15022	47580	23551	44201
IGHV7-4-1	44	52	359	1034	942	1542
IGHV7-34-1	1	0	0	1	1	4
IGHV7-40	0	0	1	9	4	3
IGHV7-81	1	0	3	42	8	18
