	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-2	1706	1332	15374	57429	21597	57127
IGHV1-3	4999	3666	21440	136839	47687	60451
IGHV1-8	2215	2549	15529	75762	33458	57032
IGHV1-18	8717	6637	48172	265593	94972	137863
IGHV1-24	1498	909	7033	37038	11411	15927
IGHV1-45	21	30	553	619	281	464
IGHV1-46	3871	2002	20747	108737	32890	52383
IGHV1-58	758	885	6730	26728	7199	20203
IGHV1-68	2	2	15	104	43	53
IGHV1-69	13018	14855	65182	306813	109823	219920
IGHV1-69-2	0	2	9	54	23	33
IGHV2-5	7557	5171	24630	172298	61004	30405
IGHV2-10	0	0	0	0	0	0
IGHV2-26	258	1353	2808	18105	7179	8581
IGHV2-70	379	265	3955	32226	6470	22044
IGHV3-7	2230	1970	14344	70754	13071	27761
IGHV3-9	1771	2124	10879	43940	7239	25699
IGHV3-11	2508	3638	15494	83756	19385	34518
IGHV3-13	178	1950	3883	10357	2483	11413
IGHV3-15	2093	1226	10782	67331	10367	28056
IGHV3-16	0	0	0	0	0	0
IGHV3-19	0	0	3	6	4	3
IGHV3-20	329	370	2962	13534	2537	4873
IGHV3-21	2687	3202	20148	97831	22436	50817
IGHV3-22	0	0	1	8	0	3
IGHV3-23	11428	9430	45424	330648	63045	93895
IGHV3-25	0	0	0	1	0	0
IGHV3-30	8727	8167	34116	253147	37544	119375
IGHV3-30-3	6887	6493	27551	173609	27613	82421
IGHV3-30-5	0	0	0	1	0	0
IGHV3-33	4924	6585	28866	163427	27488	85894
IGHV3-35	2	8	35	122	25	57
IGHV3-38	0	0	0	2	0	0
IGHV3-38-3	0	0	0	2	0	1
IGHV3-43	188	103	739	3889	501	3593
IGHV3-47	1	1	6	46	20	17
IGHV3-48	3348	3596	20237	101552	23416	47879
IGHV3-49	422	204	2719	15561	3808	9111
IGHV3-52	2	1	25	84	22	23
IGHV3-53	1729	2540	10456	45860	9149	26648
IGHV3-62	0	0	0	2	0	0
IGHV3-64	886	972	5883	31211	5447	11162
IGHV3-66	2657	2681	13705	65456	12199	34617
IGHV3-69-1	33	22	200	944	254	367
IGHV3-71	1	0	3	34	3	15
IGHV3-72	542	937	3468	19022	2210	6064
IGHV3-73	486	944	3689	21933	4544	10006
IGHV3-74	2112	2269	13073	78700	16819	29612
IGHV4-4	2831	3258	16089	100777	41832	45882
IGHV4-28	148	223	1207	6783	2684	2290
IGHV4-30-2	2732	3589	16358	92337	46725	33528
IGHV4-30-4	3711	4663	20262	122796	53612	49656
IGHV4-31	5434	8641	32939	171849	75382	71003
IGHV4-34	5335	4449	17337	154508	71131	71503
IGHV4-38-2	106	78	739	5438	2721	2248
IGHV4-39	7176	9725	37175	249514	101661	97969
IGHV4-55	14	2	12	126	48	25
IGHV4-59	8919	11351	50004	320312	142735	134581
IGHV4-61	2026	2045	11488	75965	33242	33969
IGHV5-10-1	741	785	9442	31277	11998	39714
IGHV5-51	2949	2892	33720	110200	33419	103723
IGHV5-78	0	0	14	19	16	32
IGHV6-1	654	828	6345	29138	12645	19674
IGHV7-4-1	58	80	360	1550	1239	2011
IGHV7-34-1	0	0	0	0	0	0
IGHV7-40	0	0	0	0	0	0
IGHV7-81	2	1	7	32	10	19
