	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	601.0	68.0	2184.0	12132.0	3182.0	5963.0
IGHV1-2	575.0	352.0	1924.0	11192.0	3332.0	5330.0
IGHV1-24	92.0	36.0	630.0	2645.0	456.0	992.0
IGHV1-3	66.0	7.0	166.0	1512.0	379.0	530.0
IGHV1-45	0.0	0.0	10.0	1.0	0.0	0.0
IGHV1-46	127.0	57.0	508.0	3217.0	821.0	1342.0
IGHV1-58	38.0	8.0	1750.0	553.0	82.0	686.0
IGHV1-69	334.0	97.0	1660.0	6839.0	2609.0	5046.0
IGHV1-8	263.0	501.0	882.0	4736.0	1323.0	4187.0
IGHV1/OR15-1	0.0	0.0	1.0	4.0	0.0	2.0
IGHV1/OR15-3	0.0	0.0	0.0	2.0	0.0	0.0
IGHV2-26	0.0	0.0	1.0	24.0	1.0	0.0
IGHV2-5	80.0	35.0	600.0	2838.0	1015.0	224.0
IGHV2-70	2.0	1.0	22.0	208.0	69.0	73.0
IGHV2-70D	0.0	0.0	0.0	2.0	0.0	0.0
IGHV3-11	401.0	276.0	1800.0	8795.0	1334.0	3439.0
IGHV3-13	33.0	466.0	1366.0	1052.0	216.0	851.0
IGHV3-15	191.0	379.0	1210.0	6352.0	954.0	4400.0
IGHV3-20	92.0	18.0	414.0	2612.0	221.0	805.0
IGHV3-21	336.0	222.0	2572.0	11297.0	2169.0	5785.0
IGHV3-22	0.0	0.0	0.0	2.0	2.0	0.0
IGHV3-23	900.0	414.0	3812.0	18360.0	2674.0	4705.0
IGHV3-30	976.0	269.0	3070.0	20940.0	2747.0	10621.0
IGHV3-30-3	347.0	197.0	2465.0	13594.0	1782.0	6310.0
IGHV3-33	108.0	27.0	1304.0	3537.0	431.0	1701.0
IGHV3-35	0.0	0.0	4.0	9.0	2.0	5.0
IGHV3-38-3	0.0	0.0	1.0	11.0	11.0	3.0
IGHV3-43	117.0	1.0	113.0	1271.0	75.0	908.0
IGHV3-43D	90.0	15.0	260.0	880.0	161.0	820.0
IGHV3-48	398.0	347.0	1805.0	8591.0	1139.0	4342.0
IGHV3-49	48.0	9.0	633.0	2345.0	770.0	767.0
IGHV3-52	0.0	0.0	0.0	10.0	7.0	5.0
IGHV3-53	133.0	209.0	1389.0	5137.0	635.0	2923.0
IGHV3-64	0.0	3.0	22.0	93.0	0.0	23.0
IGHV3-64D	3.0	3.0	39.0	105.0	14.0	22.0
IGHV3-66	5.0	1.0	29.0	226.0	24.0	99.0
IGHV3-69-1	1.0	4.0	4.0	153.0	83.0	15.0
IGHV3-7	478.0	563.0	3016.0	13374.0	2106.0	6276.0
IGHV3-71	0.0	0.0	3.0	2.0	1.0	1.0
IGHV3-72	27.0	6.0	56.0	434.0	61.0	83.0
IGHV3-73	20.0	37.0	153.0	965.0	140.0	699.0
IGHV3-74	119.0	88.0	723.0	4532.0	880.0	1464.0
IGHV3-9	461.0	274.0	3068.0	7302.0	1724.0	4710.0
IGHV3-NL1	0.0	0.0	4.0	28.0	2.0	6.0
IGHV3/OR16-10	0.0	0.0	1.0	0.0	0.0	0.0
IGHV4-28	0.0	5.0	85.0	8.0	1.0	3.0
IGHV4-30-2	8.0	32.0	250.0	1057.0	437.0	163.0
IGHV4-30-4	97.0	89.0	699.0	4399.0	1897.0	1001.0
IGHV4-31	39.0	88.0	336.0	1296.0	929.0	523.0
IGHV4-34	228.0	453.0	891.0	9016.0	2382.0	3407.0
IGHV4-38-2	197.0	106.0	430.0	2592.0	1113.0	604.0
IGHV4-39	559.0	555.0	1654.0	9888.0	4101.0	2831.0
IGHV4-4	79.0	61.0	594.0	3608.0	1549.0	1631.0
IGHV4-59	319.0	167.0	1337.0	5069.0	2492.0	2247.0
IGHV4-61	80.0	40.0	480.0	2739.0	940.0	1079.0
IGHV4/OR15-8	0.0	0.0	4.0	22.0	2.0	0.0
IGHV5-10-1	3.0	0.0	9.0	21.0	2.0	16.0
IGHV5-51	130.0	181.0	2904.0	4835.0	1542.0	2183.0
IGHV6-1	70.0	157.0	1059.0	2552.0	751.0	1212.0
IGHV7-4-1	99.0	31.0	334.0	1805.0	683.0	1122.0
